hour,day_shift,week_day,weekend,QUARTO_02_AR_CONDICIONADO-016,QUARTO_02_SENSOR_PRESENCA-018,QUARTO_02_LAMPADA-015,mode,switch,temp_set,mode_Y,switch_Y,temp_set_Y
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
15,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,ON,24.0
16,2,2,0,WIND,ON,ON,WIND,ON,24.0,WIND,OFF,24.0
16,2,2,0,WIND,OFF,ON,WIND,ON,24.0,WIND,OFF,24.0
16,2,2,0,WIND,OFF,ON,WIND,OFF,24.0,WIND,OFF,24.0
16,2,2,0,WIND,OFF,ON,WIND,OFF,24.0,WIND,OFF,24.0
16,2,2,0,WIND,OFF,ON,WIND,OFF,24.0,WIND,OFF,24.0
16,2,2,0,WIND,OFF,ON,WIND,OFF,24.0,WIND,OFF,24.0
